run_id,fold,validauc,model_save_path
ack85o8b,4,0.8430351260497251,"models/akt_AKT_CONV_DYNROUTINE_V5_A9_tiaocan_assist2009/assist2009_akt_qid_models/akt_AKT_CONV_DYNROUTINE_V5_A9_tiaocan_assist2009_42_4_0.3_128_256_4_1_0.0001_1_1_[3, 5]_42788ca9-6d48-4b9e-9398-ece5b8f644b8/qid_model.ckpt"
z6dl0yil,2,0.8461939499514154,"models/akt_AKT_CONV_DYNROUTINE_V5_A9_tiaocan_assist2009/assist2009_akt_qid_models/akt_AKT_CONV_DYNROUTINE_V5_A9_tiaocan_assist2009_3407_2_0.3_128_256_8_1_0.0001_1_1_[3, 5]_cc976817-6f7f-4bef-8b5a-e9e75a127c09/qid_model.ckpt"
l0r05jyw,1,0.8311611131252019,"models/akt_AKT_CONV_DYNROUTINE_V5_A9_tiaocan_assist2009/assist2009_akt_qid_models/akt_AKT_CONV_DYNROUTINE_V5_A9_tiaocan_assist2009_3407_1_0.3_128_256_4_1_0.001_1_1_[3, 5]_10fc19cd-4703-4a3b-990a-751c1ff84602/qid_model.ckpt"
gwi4ggiv,4,0.8444769078503187,"models/akt_AKT_CONV_DYNROUTINE_V5_A9_tiaocan_assist2009/assist2009_akt_qid_models/akt_AKT_CONV_DYNROUTINE_V5_A9_tiaocan_assist2009_3407_4_0.3_128_256_4_2_0.001_1_1_[3, 5]_d009f527-63a1-4ae4-a07f-29576648bc2a/qid_model.ckpt"
l7k0cmrf,3,0.8400281098862914,"models/akt_AKT_CONV_DYNROUTINE_V5_A9_tiaocan_assist2009/assist2009_akt_qid_models/akt_AKT_CONV_DYNROUTINE_V5_A9_tiaocan_assist2009_3407_3_0.3_128_256_8_1_0.0001_1_1_[3, 5]_c9577c98-924e-4a4e-98fd-3a0e19075eb0/qid_model.ckpt"
n5b6ewzl,0,0.851686993427178,"models/akt_AKT_CONV_DYNROUTINE_V5_A9_tiaocan_assist2009/assist2009_akt_qid_models/akt_AKT_CONV_DYNROUTINE_V5_A9_tiaocan_assist2009_42_0_0.3_128_256_4_1_0.001_1_1_[3, 5]_5b3886bc-0a18-4f78-b35b-63cce88e734a/qid_model.ckpt"
wnig80js,3,0.8380952105042534,"models/akt_AKT_CONV_DYNROUTINE_V5_A9_tiaocan_assist2009/assist2009_akt_qid_models/akt_AKT_CONV_DYNROUTINE_V5_A9_tiaocan_assist2009_42_3_0.3_128_256_8_2_0.001_1_1_[3, 5]_2c18d7ca-edcb-4c7e-bd60-4167bff7bae2/qid_model.ckpt"
1i7dlvwt,3,0.8379095933718831,"models/akt_AKT_CONV_DYNROUTINE_V5_A9_tiaocan_assist2009/assist2009_akt_qid_models/akt_AKT_CONV_DYNROUTINE_V5_A9_tiaocan_assist2009_42_3_0.3_128_256_4_1_0.001_1_1_[3, 5]_c52347cc-42b2-4b02-b678-9f25f60cdb02/qid_model.ckpt"
qecsok8t,3,0.8405877535860056,"models/akt_AKT_CONV_DYNROUTINE_V5_A9_tiaocan_assist2009/assist2009_akt_qid_models/akt_AKT_CONV_DYNROUTINE_V5_A9_tiaocan_assist2009_42_3_0.3_128_256_8_1_0.0001_1_1_[3, 5]_838e78b1-c49c-4ebf-8674-82e6bb4d2acc/qid_model.ckpt"
47cad9eq,0,0.8538566465816577,"models/akt_AKT_CONV_DYNROUTINE_V5_A9_tiaocan_assist2009/assist2009_akt_qid_models/akt_AKT_CONV_DYNROUTINE_V5_A9_tiaocan_assist2009_3407_0_0.3_128_256_8_1_0.001_1_1_[3, 5]_db313522-080c-47a2-9e4c-2ceb84878313/qid_model.ckpt"
tikgjh71,3,0.8398737261572315,"models/akt_AKT_CONV_DYNROUTINE_V5_A9_tiaocan_assist2009/assist2009_akt_qid_models/akt_AKT_CONV_DYNROUTINE_V5_A9_tiaocan_assist2009_42_3_0.3_128_256_8_1_0.001_1_1_[3, 5]_9ed6fb61-b211-41c8-bba6-5e6c4f43d9f9/qid_model.ckpt"
d3f8fnfv,2,0.8446914491647552,"models/akt_AKT_CONV_DYNROUTINE_V5_A9_tiaocan_assist2009/assist2009_akt_qid_models/akt_AKT_CONV_DYNROUTINE_V5_A9_tiaocan_assist2009_3407_2_0.3_128_256_8_1_0.001_1_1_[3, 5]_180a59f8-2fcd-4713-a723-19c074653f49/qid_model.ckpt"
fqeop536,1,0.8317869944091152,"models/akt_AKT_CONV_DYNROUTINE_V5_A9_tiaocan_assist2009/assist2009_akt_qid_models/akt_AKT_CONV_DYNROUTINE_V5_A9_tiaocan_assist2009_3407_1_0.3_128_256_8_1_0.001_1_1_[3, 5]_0f4a9f95-b752-41c9-b642-72eebd8571c1/qid_model.ckpt"
9sopvatf,3,0.8400281098862914,"models/akt_AKT_CONV_DYNROUTINE_V5_A9_tiaocan_assist2009/assist2009_akt_qid_models/akt_AKT_CONV_DYNROUTINE_V5_A9_tiaocan_assist2009_3407_3_0.3_128_256_8_1_0.0001_1_1_[3, 5]_3ab6faf0-b989-42a2-950c-481ca12b5535/qid_model.ckpt"
mxag8vf7,3,0.8373591355589474,"models/akt_AKT_CONV_DYNROUTINE_V5_A9_tiaocan_assist2009/assist2009_akt_qid_models/akt_AKT_CONV_DYNROUTINE_V5_A9_tiaocan_assist2009_42_3_0.3_128_256_4_2_0.001_1_1_[3, 5]_0bdc88a9-322f-4368-8c05-408513c8dbd9/qid_model.ckpt"
6ptv4h5g,3,0.8401427148195315,"models/akt_AKT_CONV_DYNROUTINE_V5_A9_tiaocan_assist2009/assist2009_akt_qid_models/akt_AKT_CONV_DYNROUTINE_V5_A9_tiaocan_assist2009_3407_3_0.3_128_256_8_1_0.001_1_1_[3, 5]_54da25db-15a5-4043-bc39-2082a061ed9d/qid_model.ckpt"
utxcz6jl,3,0.8335378552482849,"models/akt_AKT_CONV_DYNROUTINE_V5_A9_tiaocan_assist2009/assist2009_akt_qid_models/akt_AKT_CONV_DYNROUTINE_V5_A9_tiaocan_assist2009_42_3_0.3_128_256_4_4_0.001_1_1_[3, 5]_56d7848f-b454-4882-9a89-74e4addda902/qid_model.ckpt"
heb2szg4,0,0.8522420598937254,"models/akt_AKT_CONV_DYNROUTINE_V5_A9_tiaocan_assist2009/assist2009_akt_qid_models/akt_AKT_CONV_DYNROUTINE_V5_A9_tiaocan_assist2009_3407_0_0.3_128_256_8_2_0.001_1_1_[3, 5]_28140b62-48e3-41e9-ab80-9877a0dd94d0/qid_model.ckpt"
ulw06h6r,3,0.8335378552482849,"models/akt_AKT_CONV_DYNROUTINE_V5_A9_tiaocan_assist2009/assist2009_akt_qid_models/akt_AKT_CONV_DYNROUTINE_V5_A9_tiaocan_assist2009_42_3_0.3_128_256_4_4_0.001_1_1_[3, 5]_53aa8472-e622-44f6-8f88-da8e95c95c83/qid_model.ckpt"
mydhvqho,4,0.8147582648676939,"models/akt_AKT_CONV_DYNROUTINE_V5_A9_tiaocan_assist2009/assist2009_akt_qid_models/akt_AKT_CONV_DYNROUTINE_V5_A9_tiaocan_assist2009_3407_4_0.3_128_256_8_4_1e-05_1_1_[3, 5]_f34f4428-da8a-42c1-a7b0-5fea4fbff669/qid_model.ckpt"
yp6xwvfr,1,0.8317869944091152,"models/akt_AKT_CONV_DYNROUTINE_V5_A9_tiaocan_assist2009/assist2009_akt_qid_models/akt_AKT_CONV_DYNROUTINE_V5_A9_tiaocan_assist2009_3407_1_0.3_128_256_8_1_0.001_1_1_[3, 5]_d1a160f1-cea9-43c7-89d1-129ea69d5133/qid_model.ckpt"
y5v7ssia,3,0.8401427148195315,"models/akt_AKT_CONV_DYNROUTINE_V5_A9_tiaocan_assist2009/assist2009_akt_qid_models/akt_AKT_CONV_DYNROUTINE_V5_A9_tiaocan_assist2009_3407_3_0.3_128_256_8_1_0.001_1_1_[3, 5]_edcc731a-107e-4e3d-a6cd-5a977018416e/qid_model.ckpt"
aqh9xow6,3,0.8379095933718831,"models/akt_AKT_CONV_DYNROUTINE_V5_A9_tiaocan_assist2009/assist2009_akt_qid_models/akt_AKT_CONV_DYNROUTINE_V5_A9_tiaocan_assist2009_42_3_0.3_128_256_4_1_0.001_1_1_[3, 5]_40af3e32-e08f-44a9-8a4f-85174c350327/qid_model.ckpt"
4wangrvt,4,0.8460771123040933,"models/akt_AKT_CONV_DYNROUTINE_V5_A9_tiaocan_assist2009/assist2009_akt_qid_models/akt_AKT_CONV_DYNROUTINE_V5_A9_tiaocan_assist2009_3407_4_0.3_128_256_8_1_0.001_1_1_[3, 5]_600dec6a-5eaf-44e2-9cce-cc20b5f6bd9b/qid_model.ckpt"
ikawv45n,3,0.8398737261572315,"models/akt_AKT_CONV_DYNROUTINE_V5_A9_tiaocan_assist2009/assist2009_akt_qid_models/akt_AKT_CONV_DYNROUTINE_V5_A9_tiaocan_assist2009_42_3_0.3_128_256_8_1_0.001_1_1_[3, 5]_0bc8d0a3-90a5-4e27-9e21-b605163976f9/qid_model.ckpt"
5cum99be,3,0.8401427148195315,"models/akt_AKT_CONV_DYNROUTINE_V5_A9_tiaocan_assist2009/assist2009_akt_qid_models/akt_AKT_CONV_DYNROUTINE_V5_A9_tiaocan_assist2009_3407_3_0.3_128_256_8_1_0.001_1_1_[3, 5]_7a5d1feb-edb6-43a5-9cf0-f8dca454ce8a/qid_model.ckpt"
hda6ph47,4,0.8454121043640679,"models/akt_AKT_CONV_DYNROUTINE_V5_A9_tiaocan_assist2009/assist2009_akt_qid_models/akt_AKT_CONV_DYNROUTINE_V5_A9_tiaocan_assist2009_3407_4_0.3_128_256_8_1_0.0001_1_1_[3, 5]_e461a34c-85a8-46e3-a79d-cee3acaf11a9/qid_model.ckpt"
9qtnjdf9,3,0.8398737261572315,"models/akt_AKT_CONV_DYNROUTINE_V5_A9_tiaocan_assist2009/assist2009_akt_qid_models/akt_AKT_CONV_DYNROUTINE_V5_A9_tiaocan_assist2009_42_3_0.3_128_256_8_1_0.001_1_1_[3, 5]_3771bbd8-709a-4703-b034-616874297560/qid_model.ckpt"
hkcsajix,4,0.8460771123040933,"models/akt_AKT_CONV_DYNROUTINE_V5_A9_tiaocan_assist2009/assist2009_akt_qid_models/akt_AKT_CONV_DYNROUTINE_V5_A9_tiaocan_assist2009_3407_4_0.3_128_256_8_1_0.001_1_1_[3, 5]_5a93d547-73e6-4d30-91bf-0d7bf01cda39/qid_model.ckpt"
2tim50ke,3,0.8401427148195315,"models/akt_AKT_CONV_DYNROUTINE_V5_A9_tiaocan_assist2009/assist2009_akt_qid_models/akt_AKT_CONV_DYNROUTINE_V5_A9_tiaocan_assist2009_3407_3_0.3_128_256_8_1_0.001_1_1_[3, 5]_8016a926-a49d-4252-86f8-63c8fa1857e8/qid_model.ckpt"
i5ke8nep,0,0.8528767776162698,"models/akt_AKT_CONV_DYNROUTINE_V5_A9_tiaocan_assist2009/assist2009_akt_qid_models/akt_AKT_CONV_DYNROUTINE_V5_A9_tiaocan_assist2009_42_0_0.3_128_256_8_1_0.001_1_1_[3, 5]_1c37678c-cef9-476e-9251-98961ece7ca0/qid_model.ckpt"
gj7gehuz,3,0.8398737261572315,"models/akt_AKT_CONV_DYNROUTINE_V5_A9_tiaocan_assist2009/assist2009_akt_qid_models/akt_AKT_CONV_DYNROUTINE_V5_A9_tiaocan_assist2009_42_3_0.3_128_256_8_1_0.001_1_1_[3, 5]_0d59f4bc-7504-4d62-b1df-fdac6e623c22/qid_model.ckpt"
fgjcrkn4,3,0.8401427148195315,"models/akt_AKT_CONV_DYNROUTINE_V5_A9_tiaocan_assist2009/assist2009_akt_qid_models/akt_AKT_CONV_DYNROUTINE_V5_A9_tiaocan_assist2009_3407_3_0.3_128_256_8_1_0.001_1_1_[3, 5]_34ae0fab-6115-4efa-878d-17134fb6cda6/qid_model.ckpt"
ji70v6h1,1,0.8311611131252019,"models/akt_AKT_CONV_DYNROUTINE_V5_A9_tiaocan_assist2009/assist2009_akt_qid_models/akt_AKT_CONV_DYNROUTINE_V5_A9_tiaocan_assist2009_3407_1_0.3_128_256_4_1_0.001_1_1_[3, 5]_81e702c4-7e9e-4f5c-8329-46864b9394eb/qid_model.ckpt"
j636l8db,4,0.8457738934377784,"models/akt_AKT_CONV_DYNROUTINE_V5_A9_tiaocan_assist2009/assist2009_akt_qid_models/akt_AKT_CONV_DYNROUTINE_V5_A9_tiaocan_assist2009_3407_4_0.3_128_256_8_2_0.0001_1_1_[3, 5]_553fda34-5ca8-449b-a199-22d52fade6a6/qid_model.ckpt"
ommh7512,3,0.8400281098862914,"models/akt_AKT_CONV_DYNROUTINE_V5_A9_tiaocan_assist2009/assist2009_akt_qid_models/akt_AKT_CONV_DYNROUTINE_V5_A9_tiaocan_assist2009_3407_3_0.3_128_256_8_1_0.0001_1_1_[3, 5]_a68dd4e2-6631-4cbe-befa-ce3f2c0a1363/qid_model.ckpt"
x4bgynhi,4,0.8457203210673494,"models/akt_AKT_CONV_DYNROUTINE_V5_A9_tiaocan_assist2009/assist2009_akt_qid_models/akt_AKT_CONV_DYNROUTINE_V5_A9_tiaocan_assist2009_42_4_0.3_128_256_8_1_0.001_1_1_[3, 5]_89af7af0-1ebf-420f-9163-bea723e2d805/qid_model.ckpt"
gy2o6ear,4,0.8445013793189677,"models/akt_AKT_CONV_DYNROUTINE_V5_A9_tiaocan_assist2009/assist2009_akt_qid_models/akt_AKT_CONV_DYNROUTINE_V5_A9_tiaocan_assist2009_42_4_0.3_128_256_8_2_0.001_1_1_[3, 5]_a325a53f-fe27-4c2f-8896-04dbe3851b52/qid_model.ckpt"
bpm5gxhq,3,0.8405877535860056,"models/akt_AKT_CONV_DYNROUTINE_V5_A9_tiaocan_assist2009/assist2009_akt_qid_models/akt_AKT_CONV_DYNROUTINE_V5_A9_tiaocan_assist2009_42_3_0.3_128_256_8_1_0.0001_1_1_[3, 5]_e4e379be-c723-498b-9642-6540489cd920/qid_model.ckpt"
jrcdkh7n,4,0.8457203210673494,"models/akt_AKT_CONV_DYNROUTINE_V5_A9_tiaocan_assist2009/assist2009_akt_qid_models/akt_AKT_CONV_DYNROUTINE_V5_A9_tiaocan_assist2009_42_4_0.3_128_256_8_1_0.001_1_1_[3, 5]_d90b9687-0001-469f-b085-5689cf61bf50/qid_model.ckpt"
ua6g9s59,2,0.8470679689579527,"models/akt_AKT_CONV_DYNROUTINE_V5_A9_tiaocan_assist2009/assist2009_akt_qid_models/akt_AKT_CONV_DYNROUTINE_V5_A9_tiaocan_assist2009_42_2_0.3_128_256_8_1_0.0001_1_1_[3, 5]_2b29f917-73ee-4e4d-ba15-cebec247d72a/qid_model.ckpt"
ts7glrwy,3,0.8398737261572315,"models/akt_AKT_CONV_DYNROUTINE_V5_A9_tiaocan_assist2009/assist2009_akt_qid_models/akt_AKT_CONV_DYNROUTINE_V5_A9_tiaocan_assist2009_42_3_0.3_128_256_8_1_0.001_1_1_[3, 5]_8064f5bc-63b9-40d8-9668-68ee98b8ae64/qid_model.ckpt"
88139xwk,3,0.8379095933718831,"models/akt_AKT_CONV_DYNROUTINE_V5_A9_tiaocan_assist2009/assist2009_akt_qid_models/akt_AKT_CONV_DYNROUTINE_V5_A9_tiaocan_assist2009_42_3_0.3_128_256_4_1_0.001_1_1_[3, 5]_271e9713-3cdc-4d4f-91cf-21e417321d6f/qid_model.ckpt"
